trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
g_L1-viaje_001_T01,06:00:00,06:00:00,L1-estacion_001,1,,,,,,,0
g_L1-viaje_001_T01,06:10:00,06:10:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_001_T01,06:20:00,06:20:00,L1-estacion_003,3,,,,,,,0
g_L1-viaje_001_T02,06:40:00,06:40:00,L1-estacion_001,1,,,,,,,0
g_L1-viaje_001_T02,06:50:00,06:50:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_001_T02,07:00:00,07:00:00,L1-estacion_003,3,,,,,,,0
g_L1-viaje_001_T03,07:20:00,07:20:00,L1-estacion_001,1,,,,,,,0
g_L1-viaje_001_T03,07:30:00,07:30:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_001_T03,07:40:00,07:40:00,L1-estacion_003,3,,,,,,,0
g_L1-viaje_001_T04,08:00:00,08:00:00,L1-estacion_001,1,,,,,,,0
g_L1-viaje_001_T04,08:10:00,08:10:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_001_T04,08:20:00,08:20:00,L1-estacion_003,3,,,,,,,0
g_L1-viaje_001_T05,08:40:00,08:40:00,L1-estacion_001,1,,,,,,,0
g_L1-viaje_001_T05,08:50:00,08:50:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_001_T05,09:00:00,09:00:00,L1-estacion_003,3,,,,,,,0
g_L1-viaje_001_T06,09:20:00,09:20:00,L1-estacion_001,1,,,,,,,0
g_L1-viaje_001_T06,09:30:00,09:30:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_001_T06,09:40:00,09:40:00,L1-estacion_003,3,,,,,,,0
g_L1-viaje_001_T07,10:00:00,10:00:00,L1-estacion_001,1,,,,,,,0
g_L1-viaje_001_T07,10:10:00,10:10:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_001_T07,10:20:00,10:20:00,L1-estacion_003,3,,,,,,,0
g_L1-viaje_001_T08,10:40:00,10:40:00,L1-estacion_001,1,,,,,,,0
g_L1-viaje_001_T08,10:50:00,10:50:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_001_T08,11:00:00,11:00:00,L1-estacion_003,3,,,,,,,0
g_L1-viaje_001_T09,11:20:00,11:20:00,L1-estacion_001,1,,,,,,,0
g_L1-viaje_001_T09,11:30:00,11:30:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_001_T09,11:40:00,11:40:00,L1-estacion_003,3,,,,,,,0
g_L1-viaje_001_T10,12:00:00,12:00:00,L1-estacion_001,1,,,,,,,0
g_L1-viaje_001_T10,12:10:00,12:10:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_001_T10,12:20:00,12:20:00,L1-estacion_003,3,,,,,,,0
g_L1-viaje_001_T11,12:40:00,12:40:00,L1-estacion_001,1,,,,,,,0
g_L1-viaje_001_T11,12:50:00,12:50:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_001_T11,13:00:00,13:00:00,L1-estacion_003,3,,,,,,,0
g_L1-viaje_001_T12,13:20:00,13:20:00,L1-estacion_001,1,,,,,,,0
g_L1-viaje_001_T12,13:30:00,13:30:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_001_T12,13:40:00,13:40:00,L1-estacion_003,3,,,,,,,0
g_L1-viaje_001_T13,14:00:00,14:00:00,L1-estacion_001,1,,,,,,,0
g_L1-viaje_001_T13,14:10:00,14:10:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_001_T13,14:20:00,14:20:00,L1-estacion_003,3,,,,,,,0
g_L1-viaje_001_T14,14:40:00,14:40:00,L1-estacion_001,1,,,,,,,0
g_L1-viaje_001_T14,14:50:00,14:50:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_001_T14,15:00:00,15:00:00,L1-estacion_003,3,,,,,,,0
g_L1-viaje_001_T15,15:20:00,15:20:00,L1-estacion_001,1,,,,,,,0
g_L1-viaje_001_T15,15:30:00,15:30:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_001_T15,15:40:00,15:40:00,L1-estacion_003,3,,,,,,,0
g_L1-viaje_001_T16,16:00:00,16:00:00,L1-estacion_001,1,,,,,,,0
g_L1-viaje_001_T16,16:10:00,16:10:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_001_T16,16:20:00,16:20:00,L1-estacion_003,3,,,,,,,0
g_L1-viaje_001_T17,16:40:00,16:40:00,L1-estacion_001,1,,,,,,,0
g_L1-viaje_001_T17,16:50:00,16:50:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_001_T17,17:00:00,17:00:00,L1-estacion_003,3,,,,,,,0
g_L1-viaje_001_T18,17:20:00,17:20:00,L1-estacion_001,1,,,,,,,0
g_L1-viaje_001_T18,17:30:00,17:30:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_001_T18,17:40:00,17:40:00,L1-estacion_003,3,,,,,,,0
g_L1-viaje_001_T19,18:00:00,18:00:00,L1-estacion_001,1,,,,,,,0
g_L1-viaje_001_T19,18:10:00,18:10:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_001_T19,18:20:00,18:20:00,L1-estacion_003,3,,,,,,,0
g_L1-viaje_001_T20,18:40:00,18:40:00,L1-estacion_001,1,,,,,,,0
g_L1-viaje_001_T20,18:50:00,18:50:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_001_T20,19:00:00,19:00:00,L1-estacion_003,3,,,,,,,0
g_L1-viaje_001_T21,19:20:00,19:20:00,L1-estacion_001,1,,,,,,,0
g_L1-viaje_001_T21,19:30:00,19:30:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_001_T21,19:40:00,19:40:00,L1-estacion_003,3,,,,,,,0
g_L1-viaje_001_T22,20:00:00,20:00:00,L1-estacion_001,1,,,,,,,0
g_L1-viaje_001_T22,20:10:00,20:10:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_001_T22,20:20:00,20:20:00,L1-estacion_003,3,,,,,,,0
g_L1-viaje_001_T23,20:40:00,20:40:00,L1-estacion_001,1,,,,,,,0
g_L1-viaje_001_T23,20:50:00,20:50:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_001_T23,21:00:00,21:00:00,L1-estacion_003,3,,,,,,,0
g_L1-viaje_001_T24,21:20:00,21:20:00,L1-estacion_001,1,,,,,,,0
g_L1-viaje_001_T24,21:30:00,21:30:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_001_T24,21:40:00,21:40:00,L1-estacion_003,3,,,,,,,0
g_L1-viaje_002_T01,06:20:00,06:20:00,L1-estacion_003,1,,,,,,,0
g_L1-viaje_002_T01,06:30:00,06:30:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_002_T01,06:40:00,06:40:00,L1-estacion_001,3,,,,,,,0
g_L1-viaje_002_T02,07:00:00,07:00:00,L1-estacion_003,1,,,,,,,0
g_L1-viaje_002_T02,07:10:00,07:10:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_002_T02,07:20:00,07:20:00,L1-estacion_001,3,,,,,,,0
g_L1-viaje_002_T03,07:40:00,07:40:00,L1-estacion_003,1,,,,,,,0
g_L1-viaje_002_T03,07:50:00,07:50:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_002_T03,08:00:00,08:00:00,L1-estacion_001,3,,,,,,,0
g_L1-viaje_002_T04,08:20:00,08:20:00,L1-estacion_003,1,,,,,,,0
g_L1-viaje_002_T04,08:30:00,08:30:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_002_T04,08:40:00,08:40:00,L1-estacion_001,3,,,,,,,0
g_L1-viaje_002_T05,09:00:00,09:00:00,L1-estacion_003,1,,,,,,,0
g_L1-viaje_002_T05,09:10:00,09:10:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_002_T05,09:20:00,09:20:00,L1-estacion_001,3,,,,,,,0
g_L1-viaje_002_T06,09:40:00,09:40:00,L1-estacion_003,1,,,,,,,0
g_L1-viaje_002_T06,09:50:00,09:50:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_002_T06,10:00:00,10:00:00,L1-estacion_001,3,,,,,,,0
g_L1-viaje_002_T07,10:20:00,10:20:00,L1-estacion_003,1,,,,,,,0
g_L1-viaje_002_T07,10:30:00,10:30:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_002_T07,10:40:00,10:40:00,L1-estacion_001,3,,,,,,,0
g_L1-viaje_002_T08,11:00:00,11:00:00,L1-estacion_003,1,,,,,,,0
g_L1-viaje_002_T08,11:10:00,11:10:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_002_T08,11:20:00,11:20:00,L1-estacion_001,3,,,,,,,0
g_L1-viaje_002_T09,11:40:00,11:40:00,L1-estacion_003,1,,,,,,,0
g_L1-viaje_002_T09,11:50:00,11:50:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_002_T09,12:00:00,12:00:00,L1-estacion_001,3,,,,,,,0
g_L1-viaje_002_T10,12:20:00,12:20:00,L1-estacion_003,1,,,,,,,0
g_L1-viaje_002_T10,12:30:00,12:30:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_002_T10,12:40:00,12:40:00,L1-estacion_001,3,,,,,,,0
g_L1-viaje_002_T11,13:00:00,13:00:00,L1-estacion_003,1,,,,,,,0
g_L1-viaje_002_T11,13:10:00,13:10:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_002_T11,13:20:00,13:20:00,L1-estacion_001,3,,,,,,,0
g_L1-viaje_002_T12,13:40:00,13:40:00,L1-estacion_003,1,,,,,,,0
g_L1-viaje_002_T12,13:50:00,13:50:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_002_T12,14:00:00,14:00:00,L1-estacion_001,3,,,,,,,0
g_L1-viaje_002_T13,14:20:00,14:20:00,L1-estacion_003,1,,,,,,,0
g_L1-viaje_002_T13,14:30:00,14:30:00,L1-estacion_002,2,,,,,,,0
g_L1-viaje_002_T13,14:40:00,14:40:00,L1-estacion_001,3,,,,,,,0
g_L1-viaje_002_T14,15:00:00,15:00:00,L1-estacion_003,1,,,,,,,0
